maker,name,price
DELL デル,FI557-AWHBSC [Inspiron 24 5400/一体型デスクトップ/第11世代インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 10 Home 64ビット/Office Home&Business 2019/シルバー],"￥134,800"
HP,180Q3AA-AAAB [HP 24-df0000 AiO G1モデル Core i7-10700T/メモリ 16GB/SSD 256GB＋HDD 2TB/Windows 10 Home （64bit）/Office Home ＆ Business 2019/ピュアホワイト],"￥168,080"
DELL デル,FI557-AWHBBC [Inspiron 24 5400/一体型デスクトップ/第11世代インテル Core i5-1135G7 プロセッサー/メモリ 8GB/SSD 256GB＋HDD 1TB/Windows 10 Home 64ビット/Office Home&Business 2019/ブラック],"￥134,800"
HP,180Q3AA-AAAA HP [HP 24-df0000 AiO G1モデル Core i7-10700T/メモリ 16GB/SSD 256GB＋HDD 2TB/Windows 10 Home （64bit）/ピュアホワイト],"￥146,080"
HP,1V7J1AA-AAAB [HP 27-dp0000 All-in-One G1モデル Core i7/メモリ16GB/SSD512GB＋HDD2TB/Office Home＆Business 2019],"￥191,400"
NEC エヌイーシー,PC-A2797BAW [デスクトップパソコン 27型/Core i7-10510U/メモリ 16GB/SSD 256GB/HDD 4TB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ホワイト],"￥214,280"
HP,9EH12AA-AAAB [HP 24-df0000 AiO G1モデル Core i5-10400T/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 10 Home （64bit）/Office Home ＆ Business 2019/ピュアホワイト],"￥135,080"
NEC エヌイーシー,PC-A2335BAW [デスクトップパソコン 23.8型/Core i3-10110U/メモリ 8GB/SSD 512GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ホワイト],"￥137,280"
マウスコンピューター mouse computer,PCMI104P21C [スリムケースデスクトップパソコン/Corei5-10400/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit],"￥109,800"
DELL デル,FI779-AWHBSC [Inspiron 27 7700/一体型デスクトップ/第11世代インテル Core i7-1165G7 プロセッサー/メモリ 8GB/SSD 512GB＋HDD 1TB/Windows 10 Home 64ビット/Office Home&Business 2019/シルバー],"￥179,800"
NEC エヌイーシー,PC-A2335BAB [デスクトップパソコン 23.8型/Core i3-10110U/メモリ 8GB/SSD 512GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥137,280"
富士通 FUJITSU,FMVF70E3W [デスクトップパソコン ESPRIMO FHシリーズ/23.8型ワイド/Corei7-1165G7/メモリ 8GB/SSD512GB/DVDドライブ/Windows 10 Home 64ビット/Office Home and Business 2019/ホワイト],"￥172,800"
富士通 FUJITSU,FMVF90E2B [デスクトップパソコン ESPRIMO FHシリーズ/27型ワイド/Corei7-10750H/メモリ 8GB/Optane16GB+SSD256GB+HDD3TB/BDマルチドライブ/Windows  10 Home 64ビット/Office Home and Business 2019/オーシャンブラック],"￥194,480"
レノボ･ジャパン Lenovo,90NB0029JP [単体デスクトップ IdeaCentre 350i/core i5/メモリー8GB/HDD1TB/Windows 10 Home 64bit 日本語版/Microsoft Office Home＆ Business 2019/グレー],"￥102,080"
ASUS エイスース,PB60-B5372ZD [Mini PC PB60 シリーズ Core i5-8400T/DDR4メモリ 4GB/HDD 1TB/ドライブレス/Windows 10 Pro ブラック],"￥64,510"
ASUS エイスース,G15DK-R5G1660SEC [ROG Strix GA15 G15DK AMD Ryzen 5 3600X プロセッサー/NVIDIA GeForce GTX 1660 SUPER/メモリ 16GB/SSD 512GB/Windows 10 Home 64ビット/ブラック],"￥149,800"
マウスコンピューター mouse computer,PCMI104P21C-B [スリムケースデスクトップパソコン/Corei5-10400/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Microsoft Office Home ＆ Business 2019],"￥139,800"
HP,9EH12AA-AAAA [HP 24-df0000 AiO G1モデル Core i5-10400T/メモリ 8GB/SSD 256GB＋HDD 2TB/Windows 10 Home （64bit）/ピュアホワイト],"￥113,080"
NEC エヌイーシー,PC-A2797BAB [デスクトップパソコン 27型/Core i7-10510U/メモリ 16GB/SSD 256GB/HDD 4TB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥214,280"
富士通 FUJITSU,FMVF77E3WC [デスクトップパソコン ESPRIMO FHシリーズ/23.8型ワイド/Corei7-1165G7/メモリ 8GB/Optane32GB+SSD512GB/BDXL対応Blu-rayドライブ/Windows 10 Home 64ビット/Office Home and Business 2019/ホワイト/ヨドバシカメラ限定モデル],"￥199,800"
マウスコンピューター mouse computer,PCMIDV107G306P21C [クリエイター向けデスクトップパソコン/Corei7 10700/16GB/SSD 512GB (NVMe)/HDD 2TB/GeForce RTX 3060/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Office Home & Business 2019],"￥269,800"
レノボ･ジャパン Lenovo,F0EU00FRJP [一体型デスクトップ IdeaCentre AIO350i/23.8型/Core i5-10400T/メモリー 8GB/HDD 1TB＋SSD 256GB/Windows 10 Home 64bit（日本語版）/Microsoft Office Home & Business 2019/ホワイト],"￥126,280"
富士通 FUJITSU,FMVFGE3B [デスクトップパソコン ESPRIMO FHシリーズ/23.8型ワイド/Ryzen7 4700U/メモリ 16GB/SSD1TB/Windows 10 Home 64ビット/Office Home and Business 2019/ブラック],"￥214,280"
NEC エヌイーシー,PC-A2365BAW [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 512GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ホワイト],"￥164,780"
NEC エヌイーシー,PC-A2365BAB [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 512GB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ブラック],"￥164,780"
HP,1V7J1AA-AAAA [HP 27-dp0000 All-in-One G1モデル Core i7/メモリ16GB/SSD512GB＋HDD2TB],"￥169,400"
レノボ･ジャパン Lenovo,90NB002NJP [単体デスクトップ IdeaCentre 350i/core i7/メモリー8GB/HDD2TB/Windows 10 Home 64bit 日本語版/NonOffice/グレー],"￥115,280"
レノボ･ジャパン Lenovo,90NB002AJP [単体デスクトップ IdeaCentre 350i/core i3/メモリー8GB/HDD1TB/Windows 10 Home 64bit 日本語版/Microsoft Office Home＆ Business 2019/グレー],"￥93,280"
レノボ･ジャパン Lenovo,90NB002BJP [単体デスクトップ IdeaCentre 350i/core i3/メモリー8GB/HDD1TB/Windows 10 Home 64bit 日本語版/NonOffice/グレー],"￥71,280"
マウスコンピューター mouse computer,PCMI107P21C [スリムケースデスクトップパソコン/Corei7-10700/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit],"￥139,800"
ミニズフォーラム MINISFORUM,HM50-16/512-W10Pro（4500U） [小型デスクトップパソコン/CPU：AMD Ryzen 5 4500U/メモリ：16GB/ストレージ：M.2 SSD NVMe 512GB/windows 10 Pro 64bit],"￥84,760"
ミニズフォーラム MINISFORUM,U820-16/512-W10pro（8279U） [小型デスクトップパソコン/Intel Core i5-8279U/メモリ 16GB/ストレージ M.2 SSD 512GB/Windows 10 Pro 64bit],"￥76,640"
マウスコンピューター mouse computer,PCMI107P21C-B [スリムケースデスクトップパソコン/Corei7-10700/メモリ 8GB/SSD 512GB （NVMe）/DVDスーパーマルチドライブ/Windows10 Pro 64bit/Microsoft Office Home ＆ Business 2019],"￥169,800"
レノボ･ジャパン Lenovo,90NB002PJP [単体デスクトップ IdeaCentre 350i/core i7/メモリー8GB/HDD2TB/Windows 10 Home 64bit 日本語版/Microsoft Office Home＆ Business 2019/グレー],"￥137,280"
富士通 FUJITSU,FMVF52E3W [デスクトップパソコン ESPRIMO FHシリーズ/23.8型ワイド/Celeron 6305/メモリ 4GB/SSD512GB/DVDドライブ/Windows 10 Home 64ビット/Office Personal 2019/ホワイト],"￥124,780"
レノボ･ジャパン Lenovo,F0EU003NJP [IdeaCentre AIO350i/インテル Pentium Gold G6400T/23.8型/メモリー：4GB/HDD：1TB 2 5400rpm シリアルATA/2.5インチ /Windows 10 Home 64bit 日本語版 /Microsoft Offi ce Home & Business 2019/ホワイト],"￥87,780"
富士通 FUJITSU,FMVF60E3B [デスクトップパソコン ESPRIMO FHシリーズ/23.8型ワイド/Ryzen5 4500U/メモリ 8GB/SSD512GB/DVDドライブ/Windows 10 Home 64ビット/Office Home and Business 2019/ブラック],"￥146,080"
NEC エヌイーシー,PC-A2377BAW [デスクトップパソコン 23.8型/Core i7-10510U/メモリ 8GB/SSD 1TB/Windows 10 Home 64bit/Microsoft Office Home ＆ Business 2019/ホワイト],"￥197,780"
レノボ･ジャパン Lenovo,JPMINI501 [IdeaCentre Mini550i /Core i5-10400T/SSD 256GB （PCIe NVMe/M.2）/メモリ 8GB/Windows 10 Home 64bit （日本語版）/Microsoft Office Home ＆ Business 2019/ミネラルグレー],"￥98,780"
ASUS エイスース,A5401W-R75700LU [ASUS Zen AiO 23.8型/AMD Ryzen 7 5700U/メモリ 16GB/SSD 512GB/Windows 10 Home 64ビット/Microsoft Office Home and Business 2019/ホワイト],"￥164,780"
